At. num,Prefix,Ionization Energy (Hartree),Suffix,
1,(,0.4997332541890,),
2,,0.9035698802,,
3,,0.1981418715,,
4,,0.3426029,,
5,,0.30494659,,
6,,0.41380795,,
7,,0.5341196,,
8,,0.5004543,,
9,,0.6402767,,
10,,0.7924823,,
11,,0.188857595,,
12,,0.28099398,,
13,,0.21997294,,
14,,0.2995688,,
15,,0.3853786,,
16,,0.380723,,
17,,0.4765517,,
18,,0.579155054,,
19,,0.159516450,,
20,,0.224654320,,
21,,0.2411304,,
22,,0.2509288,,
23,,0.2479178,,
24,,0.2486647,,
25,,0.27319586,,
26,,0.29041035,,
27,,0.289622,,
28,,0.2807603,,
29,,0.28393924,,
30,,0.34523038,,
31,,0.22047028,,
32,,0.2902989,,
33,,0.359723,,
34,,0.35839290,,
35,,0.4341495,,
36,,0.51447601,,
37,,0.15350663,,
38,,0.209282519,,
39,,0.228480,,
40,,0.24379962,,
41,,0.2483831,,
42,,0.2606420,,
43,,0.2616324,,
44,,0.2704932,,
45,,0.2741096,,
46,,0.3063732,,
47,,0.2784215,,
48,,0.3305168,,
49,,0.212644654,,
50,,0.2698840,,
51,,0.3163525,,
52,,0.33110435,,
53,,0.3840758,,
54,,0.44576353,,
55,,0.143098396099,,
56,,0.19152514,,
57,,0.204949,,
58,,0.203541,,
59,[,0.201026,],
60,,0.203039,,
61,,0.2051299,,
62,,0.2074030,,
63,,0.20838281,,
64,,0.2260008,,
65,,0.215492,,
66,,0.21825648,,
67,,0.221288,,
68,,0.22445,,
69,,0.2272726,,
70,,0.2298361,,
71,,0.1993971,,
72,,0.2508167,,
73,,0.2774416,,
74,,0.288998,,
75,,0.287877,,
76,,0.310099,,
77,,0.329532,,
78,,0.329231,,
79,,0.33903285,,
80,,0.38357121,,
81,,0.22447542,,
82,,0.272557961,,
83,,0.26773778,,
84,,0.30935835,,
85,,0.3424122,,
86,,0.395000,,
87,,0.14967047,,
88,,0.19397850,,
89,,0.1977200,,
90,,0.231767,,
91,[,0.216,],
92,,0.2276272,,
93,,0.230254,,
94,,0.221442,,
95,,0.219533,,
96,,0.2202108,,
97,,0.227767,,
98,,0.23085474,,
99,,0.2340342,,
100,[,0.239,],
101,[,0.242,],
102,,0.2435088,,
103,,0.1823,,
104,(,0.2213,),
105,(,0.251,),
106,[,0.287,],
107,[,0.282,],
108,[,0.278,],